,Country Name,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,Unnamed: 66
4230,Germany,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,1586.74941529824,1683.4149131441,1790.68687742638,1916.92752796775,2060.547353827,2194.20606119805,2300.49979823189,2362.90894286748,2579.74991536894,2815.2213482273,3834.17840732823,4064.45471612434,4335.76962474748,4654.9850483931,4803.42320358824,4743.9448331011,5146.93257779375,5285.26078631661,5574.74521659247,5786.12721572171,5797.49975270977,5832.06487070239,5822.02735932476,5965.45819348748,6239.97181560413,6448.5398592336,6530.23871353475,6666.21959529249,6776.30791187298,6835.32990821242,6639.73169146049,6564.79719472728,6445.87399989269,6288.41635005255,6244.95722825812,6327.70975399499,6403.33372597692,6427.79876840273,6479.49024948385,6505.13299942364,6635.42140596667,6762.65339646636,6900.78052702986,7009.72649196861,7108.96252447699,7138.22148529185,7212.43744768757,7229.08991294766,7187.76400909623,6817.15839823657,7264.32259073555,7281.27217417162,7270.15252302734,7217.52908915495,7035.48297471676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4235,Germany,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.48635077147813,3.16875254280307,3.69796429267415,3.92737044175262,4.46168638912425,4.86698923076346,4.82139711743973,4.20830968721431,4.5081692690654,5.19722375553122,6.19853122329914,6.51244401824412,7.64270028215289,7.55297770223143,9.26747449292675,10.1502111075024,11.3220131113963,13.9380080579109,14.6992338976639,16.0785536793646,16.7270736678142,20.3832827208232,23.0004585405584,24.0725497476084,26.1300965691114,29.2317701223308,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4247,Germany,Forest area (sq. km),AG.LND.FRST.K2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113000.0,113054.0,113108.0,113162.0,113216.0,113270.0,113324.0,113378.0,113432.0,113486.0,113540.0,113595.0,113650.0,113705.0,113760.0,113815.0,113870.0,113925.0,113980.0,114035.0,114090.0,114110.0,114130.0,114150.0,114170.0,114190.0,114190.0,114190.0,114190.0,114190.0,114190.0,0.0,0.0
4253,Germany,Arable land (% of land area),AG.LND.ARBL.ZS,0.0,35.001288918168,34.9010397273222,34.8437544754103,34.8322974250279,34.8093833242632,34.8151118494544,34.5115000143213,34.4628075501962,34.3740154097328,34.2336665425486,34.2709019562914,34.3826081975195,34.3425085211812,34.4284363990491,34.4885859135566,34.6203419929539,34.5745137914244,34.6174777303583,34.5344141150861,34.457079025005,34.3826081975195,34.2995445822473,34.2766304814825,34.2336665425486,34.2479878555266,34.2565806433134,34.2136167043795,34.2222094921662,34.2250737547618,34.2880875318649,33.1080113424799,32.8444991836852,33.4440879926673,33.8145570164132,33.9014608994557,33.9024320375834,33.8977223893425,34.0352988367429,33.8758668118517,33.8271958733343,33.8578389223273,33.7986584876455,33.9067113901551,34.1141726639333,34.1323546278243,34.0272998394127,34.0637278802306,34.2253965522187,34.2646510427125,33.9845655105144,34.0687399586872,33.9530613415964,34.0403577161202,34.018343364861,33.9563148540962,33.6701396839936,33.694936600166,33.5766214437003,33.5270042073328,33.3838976501903,0.0,0.0
4255,Germany,Agricultural land (sq. km),AG.LND.AGRI.K2,0.0,193750.0,193930.0,194020.0,194580.0,195340.0,195310.0,194120.0,192850.0,192540.0,190230.0,189520.0,189490.0,188970.0,188210.0,187920.0,187580.0,187090.0,186590.0,185940.0,185190.0,184610.0,183960.0,183300.0,182840.0,182440.0,182080.0,181250.0,180970.0,180560.0,180320.0,171360.0,169510.0,171620.0,173080.0,173430.0,173370.0,173270.0,173730.0,171520.0,170680.0,170340.0,169670.0,170010.0,170130.0,170310.0,169460.0,169500.0,169210.0,168860.0,167000.0,167190.0,166640.0,166970.0,167250.0,167310.0,166590.0,166870.0,166450.0,166660.0,165950.0,0.0,0.0
5853,France,Urban population,SP.URB.TOTL,28866975.0,29526489.0,30271423.0,31179854.0,32114729.0,33054437.0,33987676.0,34910161.0,35692859.0,36223125.0,36752571.0,37291038.0,37825586.0,38334453.0,38806179.0,39172735.0,39393968.0,39618922.0,39851203.0,40085640.0,40343633.0,40615768.0,40893397.0,41154602.0,41404847.0,41663212.0,41923864.0,42190286.0,42457921.0,42718166.0,42985584.0,43466704.0,43784946.0,44076650.0,44343217.0,44605346.0,44866400.0,45127383.0,45395596.0,45749812.0,46221663.0,46717151.0,47215240.0,47708761.0,48218178.0,48737209.0,49233640.0,49694312.0,50131182.0,50550197.0,50963811.0,51375729.0,51793062.0,52230911.0,52647802.0,53009026.0,53323902.0,53654868.0,54024861.0,54388182.0,54715704.0,55041156.0,0.0
5855,France,"Population, total",SP.POP.TOTL,46649927.0,47161641.0,47679792.0,48189939.0,48733997.0,49282756.0,49817041.0,50334012.0,50817020.0,51272683.0,51724116.0,52185222.0,52637888.0,53053660.0,53415250.0,53715733.0,53966558.0,54221988.0,54486195.0,54753575.0,55052582.0,55371044.0,55694106.0,55992656.0,56275701.0,56569195.0,56865193.0,57168409.0,57472651.0,57766282.0,58044701.0,58557577.0,58849943.0,59106166.0,59327585.0,59543659.0,59756533.0,59969944.0,60192790.0,60504420.0,60921384.0,61367388.0,61816234.0,62256970.0,62716306.0,63188395.0,63628261.0,64021737.0,64379696.0,64710879.0,65030575.0,65345233.0,65662240.0,66002289.0,66312067.0,66548272.0,66724104.0,66918020.0,67158348.0,67388001.0,67571107.0,67749632.0,0.0
5860,France,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT,28.5,27.0,25.7,24.5,23.4,22.3,21.4,20.6,19.9,19.1,18.2,17.4,16.6,15.9,15.4,15.0,14.5,13.9,13.3,12.8,12.4,11.9,11.5,11.1,10.7,10.4,10.1,9.8,9.6,9.3,9.0,8.6,8.1,7.6,7.0,6.5,6.1,5.8,5.6,5.5,5.4,5.3,5.1,4.9,4.8,4.6,4.5,4.4,4.4,4.3,4.2,4.2,4.1,4.1,4.1,4.2,4.2,4.3,4.3,4.3,4.4,4.4,0.0
5870,France,"Annual freshwater withdrawals, total (billion cubic meters)",ER.H2O.FWTL.K3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.964,31.7478,32.5316,33.3154,34.0992,34.883,35.4426,36.0022,36.5618,37.1214,37.681,38.45,39.219,37.4414,35.6638,33.8862,32.1086,30.331,31.1203333333,31.9096666667,32.699,32.5265,32.354,32.7186666667,33.0833333333,33.448,32.22,30.992,28.66,28.4703,28.578,30.146,28.063,27.157,27.297,28.116,26.436,26.946,26.85,26.85,0.0,0.0,0.0
5886,France,Total greenhouse gas emissions (kt of CO2 equivalent),EN.ATM.GHGT.KT.CE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,495850.0,520919.982910156,506339.996337891,487350.006103516,481649.993896484,490359.985351563,510100.006103516,500769.989013672,516820.007324219,507640.014648438,506029.998779297,511209.991455078,504279.998779297,509459.991455078,507750.0,509040.008544922,499200.012207031,492480.010986328,486459.991455078,468660.003662109,472619.995117188,456720.001220703,460299.987792969,461269.989013672,427769.989013672,433220.001220703,433600.006103516,436179.992675781,422739.990234375,414040.008544922,0.0,0.0,0.0
